,Norway,India,Eritrea,Iran,Finland,Viet Nam,Sudan,Belgium,Ethiopia,South Africa,Malaysia,Taiwan,Germany,Philippines,Kenya,Somalia,Hong Kong,Lebanon,Ireland,Ghana,Ecuador,Uganda,Canada,Italy,Guatemala,Serbia,Djibouti,South Korea,United Kingdom,Peru,Mali,China,Bulgaria,Nepal,Brazil,Belarus,Spain,Oman,Colombia,Madagascar,Thailand,Swaziland,Czech Republic,Georgia,Australia,Pakistan,Denmark,Turkmenistan,Uzbekistan,USA,Russia,Sweden,Netherlands
Djibouti,[9.723616035706078],[12.317983549314961],[11.527342641862052],[15.484416586132888],[7.750698572371865],[12.89422894627933],[10.29755191209259],[15.017866753846924],[7.752923117120399],[12.53546176825058],[12.249063005784627],[10.958581008992793],[14.42800668614864],[8.997867993409967],[8.997867993409967],[12.650016835755146],[8.997867993409967],[8.997867993409967],[7.750698572371865],[11.118000667726582],[7.745751548057953],[8.997867993409967],[12.65900742302124],[13.987274684952338],[8.997867993409967],[14.394900314506662],[0.0],[5.497485139460464],[13.17773938442019],[12.518792641757926],[8.403804532394066],[11.413710184618356],[11.460890170732274],[8.997867993409967],[7.750698572371865],[15.524574237255724],[14.022386397838158],[12.894228946279181],[7.750698572371865],[8.997867993409967],[15.9660500773192],[13.93938348207757],[11.821544641397352],[10.9585810089928],[13.870872020878394],[13.080191626223328],[10.288589064121652],[12.894228946279181],[15.074852097136969],[6.027038387374558],[13.44973001995274],[8.417060407457962],[12.362900634607287]
South Korea,[10.387678535706081],[13.031520592112866],[11.52734264186206],[15.853690053057411],[12.900765345004459],[12.894228946279329],[10.29755191209264],[15.685086467626355],[7.752923117120397],[13.509371106745654],[12.187450011249782],[13.408843744783919],[16.20470215152863],[8.997867993409912],[8.997867993409912],[12.949879661543907],[8.997867993409912],[8.997867993409912],[12.900765345004459],[11.118000667726577],[12.894228946279165],[8.997867993409912],[13.367460431027238],[14.082315539808626],[8.997867993409912],[16.13635970512022],[5.497485139460464],[0.0],[13.770440028187727],[13.717556452244223],[8.403804532394073],[11.95216503413402],[12.0631125031281],[8.997867993409912],[12.900765345004459],[17.0751643089215],[15.233522309867078],[12.89422894627917],[12.900765345004459],[8.997867993409912],[14.269210442545436],[15.436430521276616],[11.250803541877964],[13.408843744783937],[15.449891524129693],[14.168903539749763],[10.288589064121659],[12.89422894627917],[16.554272729343644],[8.602387008117562],[13.79243618399018],[12.56758442746137],[13.731168193827623]
United Kingdom,[14.415629524448693],[13.088338892173299],[14.887885274066857],[14.817561949352262],[14.293047618859518],[15.711662416741811],[14.085469683542504],[13.25037382768255],[14.189771015959156],[11.98001653436822],[12.409518221797333],[14.331455624886404],[13.826427990198383],[13.080120159017742],[13.080120159017742],[14.666294150570305],[13.080120159017742],[13.080120159017742],[14.293047618859518],[15.294224865913488],[14.291456705931928],[13.080120159017742],[11.180954940085078],[12.538314076208563],[13.080120159017742],[13.499123878099827],[13.17773938442019],[13.770440028187727],[0.0],[13.444450713769804],[14.413442774142668],[13.06119367976919],[14.352835832412921],[13.080120159017742],[14.293047618859518],[15.25021416396652],[14.013190649442098],[14.865818699366708],[14.293047618859518],[13.080120159017742],[14.974196632847363],[14.79885300122937],[15.230333476536465],[15.11891121122441],[14.543741580235768],[10.921446539003774],[15.171346455000494],[14.865818699366708],[14.546601865904341],[14.29744891386787],[10.455026301805022],[14.294857657612972],[11.188311169635412]
Peru,[14.616603562713175],[14.154103927338717],[14.276388407836162],[15.102505256011948],[14.583637125316331],[16.45188864607741],[14.113490881951861],[14.69423387004543],[13.227723284478015],[12.421765985490758],[13.771534382285127],[14.436626277830038],[13.40340651206224],[14.377251959905989],[14.377251959905989],[14.055709556534817],[14.377251959905989],[14.377251959905989],[14.583637125316331],[14.838573811898591],[14.582830581453887],[14.377251959905989],[11.53019567279422],[14.287252628246858],[14.377251959905989],[12.972539940556661],[12.518792641757926],[13.717556452244223],[13.444450713769804],[0.0],[13.570072431580465],[13.76269355471611],[14.868560148284818],[14.377251959905989],[14.583637125316331],[14.779893517125071],[15.175761601789718],[15.348005479521571],[14.583637125316331],[14.377251959905989],[15.448659968056935],[12.890666946567714],[14.600853804048763],[13.974590647509643],[13.518038311586556],[13.038596918223798],[14.318377939704162],[15.348005479521571],[13.383798209637744],[14.006137754589437],[12.609726928257482],[14.583448534050756],[11.925245874804277]
Mali,[7.169245260726748],[15.01622278989703],[8.90673135306086],[13.813376779664194],[14.981881575374734],[14.979870391176632],[9.014302507753778],[15.615005397580209],[3.9200659166163994],[14.102892277320832],[13.996291664125886],[14.117044004681212],[15.937097792995033],[13.632746299202708],[13.632746299202708],[11.163427123423737],[13.632746299202708],[13.632746299202708],[14.981881575374734],[12.421307593347667],[14.979870391176703],[13.632746299202708],[14.481368836145077],[14.484457387872679],[13.632746299202708],[15.624356248749134],[8.403804532394066],[8.403804532394073],[14.413442774142668],[13.570072431580465],[0.0],[11.235591767815205],[11.565583323765429],[13.632746299202708],[14.981881575374734],[16.75733654361768],[15.383439992070977],[14.979870391176727],[14.981881575374734],[13.632746299202708],[16.48664175368548],[14.056291106224673],[13.883253510773168],[13.702250915918416],[14.475340617955533],[13.994485508347918],[10.007921829407856],[14.979870391176727],[16.51333301571736],[8.373628911699653],[14.49630663728013],[14.98187951997917],[14.114565059291051]
China,[11.937093810129417],[12.967935778128744],[13.027060957479781],[13.696585945417203],[13.97787524418194],[13.581492631383878],[12.058827199443144],[14.66932705637365],[11.120826370505018],[13.58775164186156],[12.31036168059979],[13.944751242227388],[14.856178855507794],[11.31859095625387],[11.31859095625387],[13.170843618649764],[11.31859095625387],[11.31859095625387],[13.97787524418194],[13.292007514467384],[13.971424563138118],[11.31859095625387],[13.011853543625366],[13.67781713703691],[11.31859095625387],[14.311026495525223],[11.413710184618356],[11.95216503413402],[13.06119367976919],[13.76269355471611],[11.235591767815205],[0.0],[11.49677240733086],[11.31859095625387],[13.97787524418194],[14.493543722282533],[13.726476782116729],[13.581492631383933],[13.97787524418194],[11.31859095625387],[16.126725269823613],[13.241365916558161],[13.579244916971964],[13.447212781528947],[14.410478232431007],[13.25458877232856],[13.431594382197087],[13.581492631383933],[15.46090930092036],[11.892310352302065],[13.58070057650196],[13.97787524418194],[13.5243402540845]
Bulgaria,[8.828765466895087],[12.354604200542568],[14.45010937971276],[16.792363847905172],[14.021364412526506],[13.288034189029085],[12.677939567462479],[15.428645867301151],[10.911375014143992],[13.758705235642232],[11.535282165345853],[13.675080015444566],[15.467980263988823],[13.335288040363602],[13.335288040363602],[15.257278278650649],[13.335288040363602],[13.335288040363602],[14.021364412526506],[13.426122013610478],[14.020063619928537],[13.335288040363602],[14.692499328563992],[15.414216165666199],[13.335288040363602],[14.379311341891244],[11.460890170732274],[12.0631125031281],[14.352835832412921],[14.868560148284818],[11.565583323765429],[11.49677240733086],[0.0],[13.335288040363602],[14.021364412526506],[15.856851865376548],[15.378903278967153],[13.705295796304833],[14.021364412526506],[13.335288040363602],[14.062702050677942],[14.480052406766164],[13.752072840129555],[13.15052192988349],[15.20936770404349],[14.349702977391564],[12.724042192802836],[13.705295796304833],[15.839970952859604],[11.35798421867776],[14.62172125082706],[14.73527289923075],[14.209805252475283]
Nepal,[14.087611607142533],[11.102953476442362],[15.125943206316935],[16.49508624196271],[9.777777777777626],[9.768229166666368],[12.833333333332922],[15.605382211691161],[14.142857142856549],[13.595571499066804],[11.582502667275941],[12.833333333332888],[15.912708394205534],[0.0],[0.0],[15.774743402302034],[0.0],[0.0],[9.777777777777626],[9.777777777777604],[9.768229166666465],[0.0],[13.689729813471448],[14.939148279379907],[0.0],[16.06462510582659],[8.997867993409967],[8.997867993409912],[13.080120159017742],[14.377251959905989],[13.632746299202708],[11.31859095625387],[13.335288040363602],[0.0],[9.777777777777626],[16.404124101647557],[14.950708072786894],[9.768229166666442],[9.777777777777626],[0.0],[14.087611607142497],[16.27892659726646],[10.60422228612477],[12.83333333333288],[15.897652980358064],[14.380818528917446],[12.808268229166172],[9.768229166666442],[16.12973577181368],[11.450455171415772],[13.210770997515844],[9.777777777777626],[13.84011041393017]
Brazil,[14.81163194444421],[11.758119682942684],[16.397401810034676],[16.761922143532686],[0.0],[10.998806423610805],[13.999999999999739],[15.301195845157496],[15.499999999999876],[14.034577595856456],[12.728096762253125],[9.749999999999913],[13.991456866010248],[9.777777777777626],[9.777777777777626],[16.397105445384298],[9.777777777777626],[9.777777777777626],[0.0],[10.999999999999709],[0.009548611111080687],[9.777777777777626],[14.38105019596902],[15.382576926128216],[9.777777777777626],[14.090468712633818],[7.750698572371865],[12.900765345004459],[14.293047618859518],[14.583637125316331],[14.981881575374734],[13.97787524418194],[14.021364412526506],[9.777777777777626],[0.0],[14.883535723655939],[13.70226759140302],[10.998806423610812],[0.0],[9.777777777777626],[15.47569444444421],[14.990185504679605],[10.338702267376679],[9.749999999999913],[14.775304653168732],[14.345454552874328],[13.989800347221957],[10.998806423610812],[14.456852446718807],[11.619088588355773],[14.868297892335876],[2.0],[13.574772554074125]
Belarus,[15.627147012131443],[15.845760739777328],[16.451885914040925],[13.192684527267762],[14.883535723655939],[17.69939968913152],[16.86259996110235],[15.367700746512446],[16.79063526898787],[15.56365577873818],[15.43007790877238],[14.831921846535904],[11.17037331056876],[16.404124101647557],[16.404124101647557],[15.218225315522663],[16.404124101647557],[16.404124101647557],[14.883535723655939],[16.97122187680835],[14.883080342519264],[16.404124101647557],[14.880364316304327],[15.115644597549952],[16.404124101647557],[12.66234856975806],[15.524574237255724],[17.0751643089215],[15.25021416396652],[14.779893517125071],[16.75733654361768],[14.493543722282533],[15.856851865376548],[16.404124101647557],[14.883535723655939],[0.0],[14.977494390907928],[15.34153427401508],[14.883535723655939],[16.404124101647557],[17.162826266938605],[11.094591747980662],[17.202726096231252],[15.974097804769192],[12.348323491175984],[15.393700194162072],[16.966737126628967],[15.34153427401508],[13.117242389446131],[16.153566699168756],[14.736040040466774],[16.384952288925906],[14.668772557751664]
Spain,[15.586452535731569],[14.44735929446536],[14.880854439665066],[15.956882456594187],[13.70226759140302],[16.095701518003953],[13.828991959563211],[13.97254233899749],[14.925920791445503],[14.990256940424798],[13.355823525052948],[13.658495251369201],[14.501739359185981],[14.950708072786894],[14.950708072786894],[14.755803683242782],[14.950708072786894],[14.950708072786894],[13.70226759140302],[15.764881162753145],[13.702731845462534],[14.950708072786894],[13.886983226981222],[13.742287904584275],[14.950708072786894],[14.316652084726861],[14.022386397838158],[15.233522309867078],[14.013190649442098],[15.175761601789718],[15.383439992070977],[13.726476782116729],[15.378903278967153],[14.950708072786894],[13.70226759140302],[14.977494390907928],[0.0],[15.364692095105575],[13.70226759140302],[14.950708072786894],[16.902072170336773],[15.047129847710101],[15.034216937278886],[14.812439537732505],[14.736639807356417],[14.518783436768341],[14.933414622235276],[15.364692095105575],[14.587812331482667],[13.378382306112634],[14.951877297622344],[11.703880244596283],[13.88660143575742]
Oman,[14.802571614583131],[10.277868146626698],[16.395387456116005],[16.780815159458328],[10.998806423610812],[10.989257812499773],[13.99886067708307],[15.79073547955169],[15.498674665178417],[14.412062891179682],[13.249634606107332],[13.99886067708307],[16.686541560078638],[9.768229166666442],[9.768229166666442],[16.993864016136175],[9.768229166666442],[9.768229166666442],[10.998806423610812],[10.998806423610766],[10.989257812499769],[9.768229166666442],[15.178962205108643],[15.939662927001017],[9.768229166666442],[16.675297596316216],[12.894228946279181],[12.89422894627917],[14.865818699366708],[15.348005479521571],[14.979870391176727],[13.581492631383933],[13.705295796304833],[9.768229166666442],[10.998806423610812],[15.34153427401508],[15.364692095105575],[0.0],[10.998806423610812],[9.768229166666442],[12.736304873511694],[17.15592480124438],[12.874271488034015],[13.998860677083078],[16.71075852740913],[16.037551509196643],[13.981228298610919],[0.0],[16.499532318956035],[14.140004557155308],[14.729392590538419],[10.998806423610812],[15.041816851439792]
Colombia,[14.81163194444421],[11.758119682942684],[16.397401810034676],[16.761922143532686],[0.0],[10.998806423610805],[13.999999999999739],[15.301195845157496],[15.499999999999876],[14.034577595856456],[12.728096762253125],[9.749999999999913],[13.991456866010248],[9.777777777777626],[9.777777777777626],[16.397105445384298],[9.777777777777626],[9.777777777777626],[0.0],[10.999999999999709],[0.009548611111080687],[9.777777777777626],[14.38105019596902],[15.382576926128216],[9.777777777777626],[14.090468712633818],[7.750698572371865],[12.900765345004459],[14.293047618859518],[14.583637125316331],[14.981881575374734],[13.97787524418194],[14.021364412526506],[9.777777777777626],[0.0],[14.883535723655939],[13.70226759140302],[10.998806423610812],[0.0],[9.777777777777626],[15.47569444444421],[14.990185504679605],[10.338702267376679],[9.749999999999913],[14.775304653168732],[14.345454552874328],[13.989800347221957],[10.998806423610812],[14.456852446718807],[11.619088588355773],[14.868297892335876],[2.0],[13.574772554074125]
Madagascar,[14.087611607142533],[11.102953476442362],[15.125943206316935],[16.49508624196271],[9.777777777777626],[9.768229166666368],[12.833333333332922],[15.605382211691161],[14.142857142856549],[13.595571499066804],[11.582502667275941],[12.833333333332888],[15.912708394205534],[0.0],[0.0],[15.774743402302034],[0.0],[0.0],[9.777777777777626],[9.777777777777604],[9.768229166666465],[0.0],[13.689729813471448],[14.939148279379907],[0.0],[16.06462510582659],[8.997867993409967],[8.997867993409912],[13.080120159017742],[14.377251959905989],[13.632746299202708],[11.31859095625387],[13.335288040363602],[0.0],[9.777777777777626],[16.404124101647557],[14.950708072786894],[9.768229166666442],[9.777777777777626],[0.0],[14.087611607142497],[16.27892659726646],[10.60422228612477],[12.83333333333288],[15.897652980358064],[14.380818528917446],[12.808268229166172],[9.768229166666442],[16.12973577181368],[11.450455171415772],[13.210770997515844],[9.777777777777626],[13.84011041393017]
Thailand,[15.771484374999998],[11.214321575300067],[17.18728915621937],[17.65446758631822],[15.47569444444421],[15.466634114583236],[15.985026041666357],[16.14626875070301],[16.490792410713933],[14.687220039482279],[11.58027194906453],[15.985026041666355],[15.822430393580598],[14.087611607142497],[14.087611607142497],[17.654709386420386],[14.087611607142497],[14.087611607142497],[15.47569444444421],[15.47569444444419],[15.466634114583155],[14.087611607142497],[16.078570330891562],[15.700469059290407],[14.087611607142497],[16.582068427511935],[15.9660500773192],[14.269210442545436],[14.974196632847363],[15.448659968056935],[16.48664175368548],[16.126725269823613],[14.062702050677942],[14.087611607142497],[15.47569444444421],[17.162826266938605],[16.902072170336773],[12.736304873511694],[15.47569444444421],[14.087611607142497],[0.0],[17.594183385713663],[13.21519813942543],[15.985026041666353],[17.316239457929843],[16.144730141491518],[15.961263020833158],[12.736304873511694],[15.229255093272819],[16.217838151332735],[14.828416422543082],[15.47569444444421],[15.483465118397326]
Swaziland,[13.734305467915487],[16.03568031608768],[14.348286804873744],[15.23688090712614],[14.990185504679605],[17.234342121646495],[16.263047032384108],[14.287775449755708],[14.145824700006276],[13.466793150125255],[15.041068930074111],[14.44120116088482],[9.48233570457467],[16.27892659726646],[16.27892659726646],[13.39220758536189],[16.27892659726646],[16.27892659726646],[14.990185504679605],[15.171732058323688],[14.990606783845298],[16.27892659726646],[13.197332390048407],[13.709693068591294],[16.27892659726646],[10.221527050553904],[13.93938348207757],[15.436430521276616],[14.79885300122937],[12.890666946567714],[14.056291106224673],[13.241365916558161],[14.480052406766164],[16.27892659726646],[14.990185504679605],[11.094591747980662],[15.047129847710101],[17.15592480124438],[14.990185504679605],[16.27892659726646],[17.594183385713663],[0.0],[15.6851154904611],[14.426495320877173],[9.118495598578495],[13.48031092309199],[14.752081500591794],[17.15592480124438],[11.564399888574147],[15.208644751689638],[14.373519083951324],[16.06429247790864],[13.346726085821699]
Czech Republic,[15.081655231948055],[12.419012393959408],[15.595252213175035],[17.02948491611264],[10.338702267376679],[12.874271488033854],[14.666014681993662],[16.305352098808275],[14.443233618242242],[14.888863979651362],[13.288308633946027],[12.889398056309359],[16.008225984302047],[10.60422228612477],[10.60422228612477],[15.77202832692841],[10.60422228612477],[10.60422228612477],[10.338702267376679],[8.751221858479388],[10.336191101954165],[10.60422228612477],[14.92712104946043],[15.618987178951567],[10.60422228612477],[14.684737864918565],[11.821544641397352],[11.250803541877964],[15.230333476536465],[14.600853804048763],[13.883253510773168],[13.579244916971964],[13.752072840129555],[10.60422228612477],[10.338702267376679],[17.202726096231252],[15.034216937278886],[12.874271488034015],[10.338702267376679],[10.60422228612477],[13.21519813942543],[15.6851154904611],[0.0],[5.559507818992958],[14.733221983970559],[14.872812148414159],[11.878970878409705],[12.874271488034015],[15.825197628681662],[13.60457195571252],[14.870063142938333],[10.340149048800628],[14.707766347601966]
Georgia,[13.990234374999721],[12.984096179992067],[15.330939672355955],[16.698676771651776],[9.749999999999913],[13.998860677083158],[14.666666666666455],[16.222805431445373],[13.999999999999964],[14.684140455955243],[14.420939752215402],[10.999999999999899],[15.026283392248427],[12.83333333333288],[12.83333333333288],[15.330800918274077],[12.83333333333288],[12.83333333333288],[9.749999999999913],[9.749999999999925],[9.752251519097085],[12.83333333333288],[14.606880759988712],[15.709696942032657],[12.83333333333288],[13.463895813257587],[10.9585810089928],[13.408843744783937],[15.11891121122441],[13.974590647509643],[13.702250915918416],[13.447212781528947],[13.15052192988349],[12.83333333333288],[9.749999999999913],[15.974097804769192],[14.812439537732505],[13.998860677083078],[9.749999999999913],[12.83333333333288],[15.985026041666353],[14.426495320877173],[5.559507818992958],[0.0],[13.369598732231527],[14.352135803285776],[11.003580729166488],[13.998860677083078],[14.554900657267309],[12.979165351044776],[14.968903035137336],[10.749999999999906],[14.301748398217695]
Australia,[15.218913578554279],[14.46917339254999],[15.634477369705285],[16.13549903050943],[14.775304653168732],[17.02480927430931],[15.857230288491467],[14.48055434857173],[14.968234709823871],[14.44651669441401],[15.008228221558397],[14.971582091220311],[10.241749028983614],[15.897652980358064],[15.897652980358064],[14.800714294499148],[15.897652980358064],[15.897652980358064],[14.775304653168732],[14.880372182863216],[14.775279048446231],[15.897652980358064],[12.994302314468472],[14.325000052759405],[15.897652980358064],[10.242627630196582],[13.870872020878394],[15.449891524129693],[14.543741580235768],[13.518038311586556],[14.475340617955533],[14.410478232431007],[15.20936770404349],[15.897652980358064],[14.775304653168732],[12.348323491175984],[14.736639807356417],[16.71075852740913],[14.775304653168732],[15.897652980358064],[17.316239457929843],[9.118495598578495],[14.733221983970559],[13.369598732231527],[0.0],[13.806236934543776],[15.4219812239302],[16.71075852740913],[10.773384984172052],[15.391529126959009],[14.366846720228386],[15.782616260658664],[13.133562962559362]
Pakistan,[14.199265177458802],[13.9211751088153],[14.841995644348371],[13.665846599193298],[14.345454552874328],[15.267969089734336],[14.425976783164131],[14.492349928895125],[13.971120526360485],[12.627155244221921],[13.580443879027206],[14.571213184051594],[14.289581675436636],[14.380818528917446],[14.380818528917446],[14.26505042748709],[14.380818528917446],[14.380818528917446],[14.345454552874328],[15.015882983296267],[14.344785120838562],[14.380818528917446],[12.23925061957706],[12.467152645627946],[14.380818528917446],[13.310910469723462],[13.080191626223328],[14.168903539749763],[10.921446539003774],[13.038596918223798],[13.994485508347918],[13.25458877232856],[14.349702977391564],[14.380818528917446],[14.345454552874328],[15.393700194162072],[14.518783436768341],[16.037551509196643],[14.345454552874328],[14.380818528917446],[16.144730141491518],[13.48031092309199],[14.872812148414159],[14.352135803285776],[13.806236934543776],[0.0],[15.233928138729873],[16.037551509196643],[14.006266923066063],[14.625697730706342],[12.794179051423965],[14.806221810891104],[12.49082141848213]
Denmark,[11.355158730158598],[14.584479375148652],[12.327560789087785],[16.695479004261266],[13.989800347221957],[13.981228298611057],[11.003580729166488],[15.583737781409896],[9.720005580357006],[14.602175561296628],[14.402086756734718],[11.003580729166492],[16.451590260934704],[12.808268229166172],[12.808268229166172],[13.630131238058356],[12.808268229166172],[12.808268229166172],[13.989800347221957],[9.745062934027452],[13.981228298610917],[12.808268229166172],[15.18754806181329],[15.054244205601437],[12.808268229166172],[15.93460648792819],[10.288589064121652],[10.288589064121659],[15.171346455000494],[14.318377939704162],[10.007921829407856],[13.431594382197087],[12.724042192802836],[12.808268229166172],[13.989800347221957],[16.966737126628967],[14.933414622235276],[13.981228298610919],[13.989800347221957],[12.808268229166172],[15.961263020833158],[14.752081500591794],[11.878970878409705],[11.003580729166488],[15.4219812239302],[15.233928138729873],[0.0],[13.981228298610919],[16.625800390722382],[10.650356632091876],[15.280657025539043],[12.991753472221934],[15.18289738647053]
Turkmenistan,[14.802571614583131],[10.277868146626698],[16.395387456116005],[16.780815159458328],[10.998806423610812],[10.989257812499773],[13.99886067708307],[15.79073547955169],[15.498674665178417],[14.412062891179682],[13.249634606107332],[13.99886067708307],[16.686541560078638],[9.768229166666442],[9.768229166666442],[16.993864016136175],[9.768229166666442],[9.768229166666442],[10.998806423610812],[10.998806423610766],[10.989257812499769],[9.768229166666442],[15.178962205108643],[15.939662927001017],[9.768229166666442],[16.675297596316216],[12.894228946279181],[12.89422894627917],[14.865818699366708],[15.348005479521571],[14.979870391176727],[13.581492631383933],[13.705295796304833],[9.768229166666442],[10.998806423610812],[15.34153427401508],[15.364692095105575],[0.0],[10.998806423610812],[9.768229166666442],[12.736304873511694],[17.15592480124438],[12.874271488034015],[13.998860677083078],[16.71075852740913],[16.037551509196643],[13.981228298610919],[0.0],[16.499532318956035],[14.140004557155308],[14.729392590538419],[10.998806423610812],[15.041816851439792]
Uzbekistan,[15.589826265975102],[14.65198303526991],[16.832553035157755],[15.337975708420576],[14.456852446718807],[17.4984076603693],[16.527252627512578],[14.776474621671502],[16.356860905161238],[15.205641971476402],[14.460546531981784],[14.473128287375538],[11.585140583217287],[16.12973577181368],[16.12973577181368],[16.041792089745282],[16.12973577181368],[16.12973577181368],[14.456852446718807],[16.808204769251606],[14.457107354563531],[16.12973577181368],[12.71109454335183],[15.101730067393385],[16.12973577181368],[11.87156575839137],[15.074852097136969],[16.554272729343644],[14.546601865904341],[13.383798209637744],[16.51333301571736],[15.46090930092036],[15.839970952859604],[16.12973577181368],[14.456852446718807],[13.117242389446131],[14.587812331482667],[16.499532318956035],[14.456852446718807],[16.12973577181368],[15.229255093272819],[11.564399888574147],[15.825197628681662],[14.554900657267309],[10.773384984172052],[14.006266923066063],[16.625800390722382],[16.499532318956035],[0.0],[15.712438486134097],[13.873362257619458],[15.843919313466294],[14.09105304170649]
USA,[7.859564057313645],[13.679667868655587],[11.920330620000653],[16.15217754400524],[11.619088588355773],[14.14000455715545],[9.353060168451778],[14.959205870884496],[6.711013454566842],[13.92563842093],[13.427962802516324],[11.973255129362396],[15.638915378902468],[11.450455171415772],[11.450455171415772],[13.608404686244056],[11.450455171415772],[11.450455171415772],[11.619088588355773],[12.872268295966249],[11.617421071718535],[11.450455171415772],[14.01098040981078],[14.772704092627889],[11.450455171415772],[15.501365936630402],[6.027038387374558],[8.602387008117562],[14.29744891386787],[14.006137754589437],[8.373628911699653],[11.892310352302065],[11.35798421867776],[11.450455171415772],[11.619088588355773],[16.153566699168756],[13.378382306112634],[14.140004557155308],[11.619088588355773],[11.450455171415772],[16.217838151332735],[15.208644751689638],[13.60457195571252],[12.979165351044776],[15.391529126959009],[14.625697730706342],[10.650356632091876],[14.140004557155308],[15.712438486134097],[0.0],[14.489213648859515],[10.621564091882798],[14.1353679114111]
Russia,[14.601066138347019],[13.83322612211137],[14.904688948983395],[14.471694458623931],[14.868297892335876],[16.52808205773044],[14.704160448604002],[13.88705754664389],[14.316779324177407],[11.994518765056156],[13.160064828070746],[15.019385084107284],[14.08710994985653],[13.210770997515844],[13.210770997515844],[14.687267281407559],[13.210770997515844],[13.210770997515844],[14.868297892335876],[15.198025624599415],[14.865956923172046],[13.210770997515844],[10.767969177943709],[12.700899851024953],[13.210770997515844],[13.717883197516207],[13.44973001995274],[13.79243618399018],[10.455026301805022],[12.609726928257482],[14.49630663728013],[13.58070057650196],[14.62172125082706],[13.210770997515844],[14.868297892335876],[14.736040040466774],[14.951877297622344],[14.729392590538419],[14.868297892335876],[13.210770997515844],[14.828416422543082],[14.373519083951324],[14.870063142938333],[14.968903035137336],[14.366846720228386],[12.794179051423965],[15.280657025539043],[14.729392590538419],[13.873362257619458],[14.489213648859515],[0.0],[14.868507769085264],[12.710327849459894]
Sweden,[15.47569444444421],[12.130728475970653],[15.730939672355799],[16.761922143532686],[2.0],[10.998806423610805],[12.999999999999762],[14.565230964647132],[14.8333333333332],[14.096517142135541],[12.728096762253125],[9.749999999999913],[15.407526545366045],[9.777777777777626],[9.777777777777626],[15.730800708604166],[9.777777777777626],[9.777777777777626],[2.0],[10.999999999999709],[2.0075954861110343],[9.777777777777626],[14.379930940120827],[14.866488376448485],[9.777777777777626],[15.306411262853171],[8.417060407457962],[12.56758442746137],[14.294857657612972],[14.583448534050756],[14.98187951997917],[13.97787524418194],[14.73527289923075],[9.777777777777626],[2.0],[16.384952288925906],[11.703880244596283],[10.998806423610812],[2.0],[9.777777777777626],[15.47569444444421],[16.06429247790864],[10.340149048800628],[10.749999999999906],[15.782616260658664],[14.806221810891104],[12.991753472221934],[10.998806423610812],[15.843919313466294],[10.621564091882798],[14.868507769085264],[0.0],[13.69327570277897]
Netherlands,[15.06908833752242],[13.525976802066],[13.99927683603297],[14.113824007409253],[13.574772554074125],[15.916843144045643],[13.84712209857107],[13.296058544692029],[13.881107631465598],[12.36700144311653],[13.16565173757154],[13.997815872039489],[11.765961744362935],[13.84011041393017],[13.84011041393017],[13.275922476477385],[13.84011041393017],[13.84011041393017],[13.574772554074125],[14.825089732357233],[13.572960107885958],[13.84011041393017],[11.104218109880543],[12.92857848327899],[13.84011041393017],[12.653450487756343],[12.362900634607287],[13.731168193827623],[11.188311169635412],[11.925245874804277],[14.114565059291051],[13.5243402540845],[14.209805252475283],[13.84011041393017],[13.574772554074125],[14.668772557751664],[13.88660143575742],[15.041816851439792],[13.574772554074125],[13.84011041393017],[15.483465118397326],[13.346726085821699],[14.707766347601966],[14.301748398217695],[13.133562962559362],[12.49082141848213],[15.18289738647053],[15.041816851439792],[14.09105304170649],[14.1353679114111],[12.710327849459894],[13.69327570277897],[0.0]
